Title,Genre,Run Time,Rating,Number of Votes,Year,Certificate,Synopsis,Actors,Image
Avatar: The Last Airbender,"Animation, Action, Adventure",23 min,9.3,"341,834",(2005–2008),G,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Dee Bradley Baker, Zach Tyler Eisen, Mae Whitman, Jack De Sena",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Stargate SG-1,"Action, Adventure, Drama",44 min,8.4,"98,227",(1997–2007),Certificate N/A,"A secret military team, SG-1, is formed to explore other planets through the recently discovered Stargates.","Richard Dean Anderson, Michael Shanks, Amanda Tapping, Christopher Judge",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Umbrella Academy,"Action, Adventure, Comedy",60 min,7.9,"263,071",(2019–2023),Certificate N/A,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.","Aidan Gallagher, Elliot Page, Tom Hopper, David Castañeda",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Obi-Wan Kenobi,"Action, Adventure, Sci-Fi",Run Time N/A,7.1,"214,505",(2022),Certificate N/A,"Jedi Master Obi-Wan Kenobi has to save young Leia after she is kidnapped, all the while being pursued by Imperial Inquisitors and his former Padawan, now known as Darth Vader.","Ewan McGregor, Moses Ingram, Vivien Lyra Blair, Hayden Christensen",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"Love, Death & Robots","Animation, Short, Action",15 min,8.4,"184,537",(2019– ),Certificate N/A,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.","Fred Tatasciore, Scott Whyte, Nolan North, Noshir Dalal",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Arcane: League of Legends,"Animation, Action, Adventure",41 min,9.0,"241,580",(2021– ),Certificate N/A,"Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart.","Hailee Steinfeld, Kevin Alejandro, Jason Spisak, Terri Douglas",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Orville,"Adventure, Comedy, Drama",44 min,8.0,"95,601",(2017– ),Certificate N/A,"Set 400 years in the future, finds the crew of the U.S.S. Orville continuing their mission of exploration, as they navigate both the mysteries of the universe and the complexities of their own interpersonal relationships.","Seth MacFarlane, Adrianne Palicki, Penny Johnson Jerald, Scott Grimes",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek: Picard,"Action, Adventure, Drama",46 min,7.5,"90,909",(2020–2023),Certificate N/A,Follow-up series to Star Trek: The Next Generation (1987) and Star Trek: Nemesis (2002) that centers on Jean-Luc Picard in the next chapter of his life.,"Patrick Stewart, Michelle Hurd, Jeri Ryan, Alison Pill",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Agents of S.H.I.E.L.D.,"Action, Adventure, Drama",45 min,7.5,"222,608",(2013–2020),Certificate N/A,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.","Clark Gregg, Ming-Na Wen, Brett Dalton, Iain De Caestecker",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Bleach: Burîchi,"Animation, Action, Adventure",24 min,8.2,"64,484",(2004–2023),Certificate N/A,"High school student Ichigo Kurosaki, who has the ability to see ghosts, gains soul reaper powers from Rukia Kuchiki and sets out to save the world from ""Hollows"".","Johnny Yong Bosch, Michelle Ruff, Stephanie Sheh, Jamieson Price",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Miraculous: Tales of Ladybug & Cat Noir,"Animation, Action, Adventure",20 min,7.5,"14,314",(2015– ),Certificate N/A,"Marinette and Adrien, two normal teens, transform into the superheroes Ladybug and Cat Noir when a mysterious evil threatens to destroy Paris.","Cristina Valenzuela, Bryce Papenbrook, Keith Silverstein, Max Mittelman",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Shadow and Bone,"Action, Adventure, Drama",60 min,7.6,"108,427",(2021– ),Certificate N/A,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,"Jessie Mei Li, Ben Barnes, Archie Renaux, Freddy Carter",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Naruto: Shippûden,"Animation, Action, Adventure",24 min,8.7,"145,361",(2007–2017),Certificate N/A,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.","Alexandre Crepet, Junko Takeuchi, Maile Flanagan, Kate Higgins",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Firefly,"Adventure, Drama, Sci-Fi",44 min,9.0,"274,987",(2002–2003),Certificate N/A,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.","Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
