Title,Genre,Run Time,Rating,Number of Votes,Year,Certificate,Synopsis,Actors,Image
Shen Yin Wangzuo,"Animation, Action, Adventure",Run Time N/A,8.9,535,(2022– ),Certificate N/A,A young boy joins a temple to save his mother and ascend to become the strongest knight and inherit the throne.,"Tu-Te-Ha-Meng, Tianxiang Yang, Youxi Deng, Mingyue Liu",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Kono Subarashii Sekai ni Bakuen wo!,"Animation, Adventure, Comedy",24 min,6.9,672,(2023– ),Certificate N/A,"One year before a certain useless goddess and NEET extraordinaire hit the scene, Megumin, the ""Greatest Genius of the Crimson Magic Clan,"" is hard at work. Ever since a life-changing ...                See full summary »","Rie Takahashi, Aki Toyosaki, Hitomi Nabatame, Maria Naganawa",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Birdgirl,"Animation, Adventure, Comedy",Run Time N/A,5.9,"1,136",(2021– ),Certificate N/A,"After being named CEO of the world's largest and most non-sensical corporation, Sebben & Sebben, Judy Ken Sebben aka Birdgirl has to find a way to maintain her work/superhero life balance.","Paget Brewster, Rob Delaney, John Doman, Kether Donohue",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Martin Mystery,"Animation, Action, Adventure",22 min,7.5,"2,882",(2003–2006),Certificate N/A,"MARTIN MYSTERY is a dripping goo-fest of slime, thrills and comedy, starring Martin and Diana: two mismatched teenagers with hilariously opposite personalities on a mission to investigate ...                See full summary »","Sam Vincent, Kelly Sheridan, Teryl Rothery, Dale Wilson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Adventures of Swiss Family Robinson,"Adventure, Family",30 min,7.3,593,(1998–1999),Certificate N/A,Emmy-winner Richard Thomas (The Waltons) stars in this exciting family adventure based on Johann David Wyss's Timeless book. Join the shipwrecked Robinsons as they struggle together to make a new life on a remote desert island.,"Gareth Howells, Kieren Hutchison, Richard Thomas, Mia Lux",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Doctor Who: The Eighth Doctor Adventures,"Action, Adventure, Drama",60 min,8.3,101,(2006–2011),Certificate N/A,"In the infinite wisdom of the Time Lords of Gallifrey, a nineteen-year-old from Blackpool is placed in the care of the renegade time traveler known only as the Doctor.","Paul McGann, Sheridan Smith, Niky Wardley, Carole Ann Ford",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Incredible Hulk,"Animation, Action, Adventure",20 min,6.7,"3,568",(1996–1998),Certificate N/A,A nuclear scientist is afflicted with the tendency to change into a powerful green monster under stress.,"Lou Ferrigno, Neal McDonough, John Vernon, Mark Hamill",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dwight in Shining Armor,"Adventure, Comedy, Fantasy",24 min,7.5,406,(2018–2021),Certificate N/A,"Dwight, a 21st century teen, falls into an ancient, underground chamber and lands lip-to-lip with Gretta, a gothic princess who has been magically sleeping for a thousand years.","Sloane Morgan Siegel, Caitlin Carmichael, Joel McCrary, Danielle Bisutti",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Lidsville,"Adventure, Comedy, Family",22 min,7.0,431,(1971–1973),Certificate N/A,A boy finds himself trapped in a land populated by living hat-people which is ruled by a crotchety magician.,"Charles Nelson Reilly, Billie Hayes, Butch Patrick, Sharon Baird",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Pickle and Peanut,"Animation, Short, Adventure",30 min,4.3,"1,674",(2015–2018),Certificate N/A,"The adventures of two unlikely friends, an emotional pickle and a freewheeling peanut, utilizing a mix of animation and live action.","Johnny Pemberton, Jon Heder, Joel Trussell, Noah Jones",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dejimon Adobenchâ,"Animation, Action, Adventure",30 min,7.9,"6,726",(1999–2000),Certificate N/A,"An animated series based on the popular children's toy ""Digimon"", in which kids raise and train electronic monsters to fight against those raised by other kids. The show follows the ...                See full summary »","Hiroaki Hirata, Toshiko Fujita, Chika Sakamoto, Yûko Mizutani",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Wolf's Rain,"Animation, Action, Adventure",701 min,7.9,"8,069",(2003–2004),Certificate N/A,"In a post-apocalyptic future where humans live in domed cities surrounded by wasteland, wolves are assumed to be two hundred years extinct.","Sarah Hauser, Darren Pleavin, Kenta Miyake, Akio Suyama",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Space Ghost,"Animation, Action, Adventure",30 min,7.3,"2,014",(1966–1968),Certificate N/A,The adventures of a space superhero who can become invisible and his sidekicks.,"Don Messick, Ginny Tyler, Gary Owens, Tim Matheson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Jason King,"Action, Adventure",60 min,6.9,319,(1971–1972),Certificate N/A,"A playboy novelist, who has had a spell of work with an intelligence agency as a sideline, leaves, but finds himself performing new missions around the world.","Peter Wyngarde, Anne Sharp, Ronald Lacey, Dennis Price",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Samurai 7,"Animation, Action, Adventure",25 min,7.6,"4,327",(2004),Certificate N/A,Set in an alternate feudal Japan where mechas and giant airships are a common thing for humans to see. With in this time period is a small village that gets raided by bandits during every ...                See full summary »,"R. Bruce Elliott, Christopher Sabat, Sean Teague, Colleen Clinkenbeard",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Wildboyz,"Documentary, Adventure, Comedy",30 min,7.3,"5,052",(2003–2006),Certificate N/A,"The ""Wildboyz"", Steve-O and Chris Pontius, interact with different animals and travel around the globe.","Chris Pontius, Steve-O, Manny Puig, Johnny Knoxville",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
DC Super Hero Girls,"Animation, Short, Action",3 min,6.1,798,(2015–2018),Certificate N/A,"At Super Hero High, iconic super heroes like Wonder Woman, Supergirl, Batgirl, Harley Quinn, Bumblebee, Poison Ivy, and Katana navigate all the twists and turns of high school.","Tara Strong, Grey Griffin, Mae Whitman, Anais Fairweather",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ice Road Truckers,"Documentary, Adventure, Reality-TV",60 min,6.2,"3,559",(2007–2017),Certificate N/A,"The treacherous job of driving trucks over frozen lakes, also known as ice roads, in Canada's Northwest Territories and Alaska's improved but still remote Dalton Highway, which is mainly snow-covered solid ground.","Alex Debogorski, Thom Beers, Hugh Rowland, Lisa Kelly",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Time Trax,"Action, Adventure, Crime",60 min,7.0,"1,491",(1993–1994),Certificate N/A,A cop from the future is sent back to contemporary times to track down fugitives hiding in the past.,"Dale Midkiff, Elizabeth Alexander, Peter Donat, Malcolm Cork",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"Mira, Royal Detective","Animation, Adventure, Family",24 min,7.5,336,(2020–2022),Certificate N/A,"A brave, resourceful girl becomes a royal detective in India after solving a mystery that saved the kingdom's young prince.","Leela Ladnier, Utkarsh Ambudkar, Kal Penn, Nardeep Khurmi",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Whirlybirds,Adventure,30 min,7.8,351,(1957–1960),Certificate N/A,"Charter helicopter pilots Chuck and P. T. solve crimes. Rescue people, perform tasks and more using their Bell helicopter, the star of the show;","Kenneth Tobey, Craig Hill, Nancy Hale, Sandra Spence",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Fairfax,"Animation, Adventure, Comedy",30 min,5.3,"1,073",(2021–2022),Certificate N/A,Animated series centering on four middle school friends on their quest for fame on L.A.'s Fairfax Avenue.,"Skyler Gisondo, Jaboukie Young-White, Kiersey Clemons, Peter S. Kim",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Cabinet of curiosities,"Animation, Adventure, Sci-Fi",Run Time N/A,5.5,46,(2019– ),Certificate N/A,Add a Plot,"Helen Sadler, Edita Brychta, Karthik Srinivasan, Anna Hamada",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Happily Ever After: Fairy Tales for Every Child,"Animation, Adventure, Comedy",30 min,6.9,769,(1995–2000),Certificate N/A,"Multicultural versions of many of your favorite fairy tales. Such as ""The Princess and the Pea"" and ""The Three Little Pigs"".","Robert Guillaume, Liz Torres, Edward James Olmos, Sinbad",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ôkami to kôshinryô,"Animation, Adventure, Drama",24 min,7.8,"4,807",(2008–2009),Certificate N/A,"Kraft Lawrence goes from town to town to make profits as a travelling merchant, with the help of a wolf deity by the name of Holo.","Jun Fukuyama, Ami Koshimizu, J. Michael Tatum, Brina Palencia",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Famous Five,"Adventure, Family",25 min,7.3,566,(1995–1997),Certificate N/A,"Based on the best selling books by popular children's author Enid Blyton; when Julian, Dick and Anne are sent to live with their Aunt and uncle in the English countryside they clash with ...                See full summary »","Jemima Rooper, Marco Williamson, Paul Child, Laura Petela",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Death March kara Hajimaru Isekai Kyousoukyoku,"Animation, Adventure, Comedy",24 min,6.6,"2,218",(2018),Certificate N/A,A computer programmer is transported to a fantasy world where life is an adventure that's fun and full of girls.,"Shun Horie, Justin Briner, Hiyori Kono, Kaya Okuno",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"Ada Twist, Scientist","Animation, Short, Adventure",12 min,7.0,256,(2021– ),Certificate N/A,"Ada Twist, a young scientist who will explore helping people through scientific discovery, collaboration and friendship.","Nicholas Crovetti, Kaya Jackson, Corey J, Esteban Hernandez-Sanchez",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Odyssey 5,"Action, Adventure, Drama",60 min,7.5,"3,117",(2002–2004),Certificate N/A,"After witnessing the sudden implosion of Earth from orbit, a group of five Odyssey astronauts is sent five years back in time by an alien force to find the cause and prevent the disaster. A vast conspiracy stands in their way.","Peter Weller, Sebastian Roché, Christopher Gorham, Leslie Silva",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Persona 5: The Animation,"Animation, Action, Adventure",24 min,6.6,739,(2018–2019),Certificate N/A,Follows Ren Amamiya and a rebellious group of teenagers in Tokyo who form the Phantom Thieves of Hearts to rebel against the corruption and slavery in society.,"Matthew Mercer, Cherami Leigh, Robbie Daymond, Max Mittelman",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ren,"Action, Adventure, Drama",10 min,6.8,430,(2016– ),Certificate N/A,When Ren is marked by a powerful ancient spirit she is forced to leave behind the family she has spent her whole life protecting and journey across the land to find the real meaning behind the mark she bears.,"Richard Zeman, Sophie Skelton, Duran Fulton Brown, Christopher Dane",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Trailer Park Boys: Out of the Park,"Adventure, Comedy, Crime",30 min,7.0,"2,553",(2016–2017),Certificate N/A,"Ricky, Julian, and Bubbles go to Europe for a paid vacation and realize when they get there they have to complete tasks in different countries to earn money to party.","John Paul Tremblay, Robb Wells, Mike Smith, Tom Mayhue",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
BraveStarr,"Animation, Action, Adventure",30 min,7.0,"3,117",(1987–1989),Certificate N/A,A Native American marshal and his friends keep the peace on the frontier planet of New Texas.,"Pat Fraley, Susan Blu, Erika Scheimer, Lou Scheimer",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Secret Saturdays,"Animation, Action, Adventure",Run Time N/A,7.0,"2,570",(2008–2010),Certificate N/A,An adventuresome family of experts in the field of creatures known as cryptids attempts to protect their secrets and powers from the forces of evil.,"Sam Lerner, Diedrich Bader, Nicole Sullivan, Phil Morris",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
I've Been Killing Slimes for 300 Years and Maxed Out My Level,"Animation, Action, Adventure",24 min,6.4,"1,150",(2021– ),Certificate N/A,"Azusa Aizawa, a 27 years old woman, died on work site due to overworking. She has the possibility to reincarnate, and so she plans to live a chilling and calm life. But will she be able to be relaxed?","Manami Numakura, Sayaka Senbongi, Azumi Waki, Sayaka Harada",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ultimate Cowboy Showdown,"Adventure, Reality-TV, Western",43 min,8.6,165,(2019– ),Certificate N/A,Top cowboys compete for a chance to win a herd of cattle and a lifetime of bragging rights. Hosted by country music icon Trace Adkins.,"Brianna Markum-McClain, Coy Melancon, Buck Faust, Trace Adkins",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Life Is Strange,"Adventure, Drama, Mystery",Run Time N/A,9.2,356,(II) (2015– ),Certificate N/A,"Life Is Strange follows the story of Max Caulfield, a high-school senior who discovers she can rewind time while saving her best friend Chloe Price. The pair find themselves investigating the mysterious disappearance of a fellow student.",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Extreme Ghostbusters,"Animation, Action, Adventure",23 min,6.9,"3,220",(1997),Certificate N/A,"Several years after the events of the original show and the movies, Dr. Egon Spengler agrees to help a group of his young students re-form the Ghostbusters under his mentorship.","Tara Strong, Maurice LaMarche, Jason Marsden, Alfonso Ribeiro",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Mummy,"Animation, Action, Adventure",22 min,6.2,"1,255",(2001–2003),Certificate N/A,"Set one year after The Mummy Returns, this series follows the adventures of Alex O'Connell and his archaeologist parents, as The Mummy tracks them down.","Christopher Marquette, John Schneider, Jim Cummings, Grey Griffin",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Urusei Yatsura,"Animation, Action, Adventure",25 min,7.0,471,(2022– ),Certificate N/A,A young man cursed with misfortune finds himself tied to an alien wife.,"Jack Stansbury, Brianna Roberts, Jade Kelly, Hiroshi Kamiya",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
X-MEN: Children of the Atom,"Action, Adventure, Drama",Run Time N/A,Rating N/A,Votes N/A,(2023– ),Certificate N/A,"Long time actor turned writer/director, Evan Feldman, is leading the charge on a brand new fan made web series titled; ""X-Men: Children of the Atom"". This web series is the next mutation in X-Men Fandom.","Tyler Gallant, Jordan Tofalo, Donnie Francis, Evan Feldman",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Challenge: World Championship,"Adventure, Reality-TV",Run Time N/A,7.6,226,(2023– ),Certificate N/A,"Follow previous winners of The Challenge as they compete to win the $500,000 prize. In the end, only the most dominant will conquer the game and prove they are not just the best in their home country, but the best in the world.""","T.J. Lavin, Jordan Wiseley, Tori Deal, Kaycee Clark",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dual Survival,"Adventure, Game-Show, Reality-TV",60 min,7.4,"3,300",(2010–2016),Certificate N/A,"Experts agree there are some very basic - and universal - rules for surviving in the wild. Find shelter, find water, find food, find help. Beyond that, there's not much they agree on. Meet ...                See full summary »","Cody Lundin, Paul Christie, Joe Teti, Dave Canterbury",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Other Space,"Adventure, Comedy, Sci-Fi",30 min,7.1,"2,615",(2015),Certificate N/A,"A young and inexperienced crew venture into space to face mysterious clouds, folds in time and the occasional alien attack, as well as more household challenges.","Trace Beaulieu, Neil Casey, Eugene Cordero, Joel Hodgson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
ChalkZone,"Animation, Adventure, Comedy",22 min,6.5,"3,537",(2002–2009),Certificate N/A,The adventures of a boy with a magic chalk stick that enables him to enter a world of chalk drawings and alter its reality at will.,"Elizabeth Daily, Candi Milo, Hynden Walch, Jess Harnell",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Wings of Fire,"Animation, Action, Adventure",40 min,Rating N/A,Votes N/A,(2023– ),Certificate N/A,A group of five young dragons who are prophesized to end a decades long war that has decimated the fictional lands of Pyrrhia and Pantala.,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Supertrain,"Adventure, Comedy, Crime",60 min,4.3,240,(1979),Certificate N/A,The adventures of a nation-spanning train and its passengers.,"Edward Andrews, Harrison Page, Robert Alda, Patrick Collins",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Witchblade,"Animation, Action, Adventure",Run Time N/A,7.0,"1,544",(2006),Certificate N/A,"In order to protect her daughter, a young single mother is forced to fight after acquiring a powerful ancient weapon.","Jamie Marchi, Cherami Leigh, Robert McCollum, Rikiya Koyama",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Blue Eye Samurai,"Animation, Action, Adventure",Run Time N/A,Rating N/A,Votes N/A,(2023– ),Certificate N/A,A mixed-race master of the sword lives a life in disguise while seeking revenge in Edo-period Japan.,"Alain Uy, Darren Barnet, Randall Park, Brenda Song",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Huckleberry Finn and His Friends,"Adventure, Drama",60 min,8.1,529,(1979–1980),Certificate N/A,The exploits of Huckleberry Finn and Tom Sawyer.,"Ian Tracey, Sammy Snyders, Brigitte Horney, Blu Mankuma",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Road Rules,"Adventure, Game-Show, Reality-TV",30 min,5.2,573,(1995–2007),Certificate N/A,"A diverse group of five to six people in their late teens to mid-20s are chosen to travel together in an RV, completing missions in order to receive a handsome reward. Each season's trip takes place in a different region.","Adam Larson, Shane Landrum, Susie Meister, Veronica Portillo",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
T.U.F.F. Puppy,"Animation, Short, Action",Run Time N/A,5.6,"3,624",(2010–2015),Certificate N/A,A secret agent labradoodle is recruited into a task force called T.U.F.F and fights injustice throughout the city in which he lives.,"Jerry Trainor, Grey Griffin, Daran Norris, Jeff Bennett",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Desaparecidos,"Adventure, Crime, Drama",Run Time N/A,7.1,347,(2020– ),Certificate N/A,A group of six police officers solve disappearance cases that everyone else has already given up on.,"Juan Echanove, Elvira Mínguez, Michelle Calvó, Chani Martín",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Girl from Tomorrow,"Adventure, Family, Fantasy",23 min,7.9,"1,272",(1991–1992),Certificate N/A,"Alana, a teenage girl from the year 3000, finds herself trapped in 1990 with a criminal from the year 2500. Alone, and confused, she befriends a spirited girl named Jenny Kelly. Together ...                See full summary »","Katharine Cullen, Melissa Marshall, James Findlay, Andrew Clarke",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ulysse 31,"Animation, Action, Adventure",25 min,8.0,"2,304",(1981–1982),Certificate N/A,"To return home and restore his cursed crew, a great hero of space and his child companions must find the Kingdom of Hades against all evil opposition.","Mayumi Tanaka, Matt Birman, Claude Giraud, Sumi Shimamoto",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mahoutsukai Reimeiki,"Animation, Action, Adventure",Run Time N/A,5.8,332,(2022– ),Certificate N/A,"A magician with zero magic is sent to investigate attacks on magicians, and uncovers a great mystery.","Shuichiro Umeda, Taku Yashiro, Sayumi Suzushiro, Miho Okasaki",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Last Bus,"Adventure, Comedy, Drama",35 min,5.2,847,(2022),Certificate N/A,A group of mismatched school kids band together to face a fearsome new machine intelligence.,"Moosa Mostafa, Lauryn Ajufo, Phoebe De Silva, Daniel Frogson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mo Dao Zu Shi,"Animation, Action, Adventure",24 min,8.5,"2,136",(2018–2021),Certificate N/A,Wei Wu Xian and Lan Wang Ji meet during a magical training and start working together to solve many mysteries.,"Sanmu Liu, Jiang Bian, Kei Gambit, Ketsu",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Story of God with Morgan Freeman,"Documentary, Adventure, History",60 min,7.8,"5,220",(2016–2019),Certificate N/A,"Morgan Freeman presents his quest in order to find how most religions perceive life after death, what different civilizations thought about the act of creation and other big questions that mankind has continuously asked.","Morgan Freeman, Robert Thurman, Amir Hussain, Jodi Magness",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Shinka No Mi: Shiranai Uchi ni Kachigumi Jinsei,"Animation, Adventure, Comedy",Run Time N/A,6.1,959,(2021– ),Certificate N/A,A fat schoolkid is thrown into a fantasy world and must team up with a female gorilla to survive.,"Giovannie Cruz, Mark Allen Jr., Kristian Eros, Erica Muse",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Eden,"Animation, Action, Adventure",25 min,6.6,"1,376",(I) (2021– ),Certificate N/A,"A human girl secretly raised by robots starts to uncover the dark secrets behind her lush, utopian world where humanity has all but vanished.","Marika Kôno, Kentarô Itô, Kyôko Hikami, Tarusuke Shingaki",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Randy Cunningham: 9th Grade Ninja,"Animation, Short, Action",15 min,6.7,"1,496",(2012–2015),Certificate N/A,An ordinary ninth grader is chosen to become The Ninja. He is tasked with protecting the town from evil as well as balancing his school life with friends and homework.,"Ben Schwartz, Andrew Lewis Caldwell, John DiMaggio, Kevin Michael Richardson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Escape the Night,"Adventure, Fantasy, Game-Show",23 min,5.4,"1,118",(2016–2019),Certificate N/A,"Cursed YouTuber Joey Graceffa finds himself guiding a number of invited social-media personalities into solving puzzles and voting one another off to survive the night, and not be slain by various monsters and evils.","Joey Graceffa, Timothy DeLaGhetto, Rosanna Pansino, Justine Ezarik",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mighty Nein,"Animation, Action, Adventure",30 min,Rating N/A,Votes N/A,,Certificate N/A,Follows a group of criminals and misfits who are the only ones that can prevent the kingdom from plunging into chaos when an arcane artifact capable of reshaping reality falls into the wrong hands.,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Otherworld,"Action, Adventure, Fantasy",60 min,7.3,557,(1985),Certificate N/A,"Thrown into another dimension, a family must keep ahead of a tyrannical state's hunters while searching for a way home.","Sam Groom, Gretchen Corbett, Tony O'Dell, Jonna Lee",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Diablero,"Adventure, Drama, Fantasy",40 min,6.8,"2,762",(2018–2020),Certificate N/A,"A fallen priest, a legendary demon hunter and a modern day superhero join forces to battle evil.","Christopher Von Uckermann, Gisselle Kuri, Fátima Molina, Horacio Garcia Rojas",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
El secreto de Puente Viejo,"Adventure, Drama, Romance",55 min,5.5,321,(2011–2020),Certificate N/A,"A daily series that take full advantage of the premises of romantic classic literature: impossible love, revenge, betrayal... and unspeakable secrets.","María Bouzas, Loreto Mauleón, Carlos Serrano, Rebeca Sala",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
HarmonQuest,"Animation, Adventure, Comedy",23 min,8.3,"2,322",(2016–2019),Certificate N/A,Dan Harmon and his celebrity friends get together to play a fantasy role playing game.,"Erin McGathy, Dan Harmon, Spencer Crittenden, Jeff Bryan Davis",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Spirit Rangers,"Animation, Action, Adventure",22 min,7.1,185,(2022– ),Certificate N/A,"Follows Native American sibling trio Kodiak, Summer and Eddy Skycedar, who have a shared secret-they're ""Spirit Rangers!""","Esther Mbire, Kimberly Guerrero, Brody Bett, Sky Lakota-Lynch",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
More Than Just Me,"Adventure, Drama, Fantasy",Run Time N/A,8.7,15,(2019– ),Certificate N/A,"More Than Just Me is the story of a creative boy, who gains the power of a magical stone that allowing any of his thoughts to become reality. The main character Raul, brings to life two ...                See full summary »","Morgan Harvill, Jake Holley, Alyssa Morrison, Christian Alberto",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Scooby-Doo and Scrappy-Doo,"Animation, Adventure, Comedy",30 min,6.3,"4,317",(1979–1983),Certificate N/A,The adventures of the mystery solving dog and his nephew.,"Casey Kasem, Don Messick, Heather North, Frank Welker",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
10.5: Apocalypse,"Action, Adventure, Drama",169 min,4.4,"2,705",(2006),Certificate N/A,A massive earthquake creates a chain of events that threaten two of the largest nuclear reactors.,"Kim Delaney, Dean Cain, David Cubitt, Oliver Hudson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"Kumo Desu ga, Nanika?","Animation, Adventure, Comedy",24 min,7.2,"1,770",(2021– ),Certificate N/A,"Something mysterious happens and an entire class finds themselves reincarnated in a RPG-game-like fantasy world. The main character, a girl, finds herself reincarnated in a spider. Will she able to survive and to find out what happened?","Aoi Yûki, Shun Horie, Kaito Ishikawa, Nao Tôyama",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Kaizoku oujo,"Animation, Action, Adventure",Run Time N/A,7.0,880,(2021– ),Certificate N/A,"Fena Houtman, a young orphan girl, has been raised on an island where there is no hope of becoming anything more than chattel, to be used and discarded by soldiers of the British Empire. ...                See full summary »","Asami Seto, Ryôta Suzuki, Takahiro Sakurai, Aoi Yûki",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Tuttle Twins,"Adventure, Comedy, Family",Run Time N/A,8.4,883,(2021– ),Certificate N/A,Ethan and Emily Tuttle are taken on adventures through time by their Grandma to learn about liberty and freedom.,"Jonny Vance, Blake Brust, Alex Elkin, William Lucas",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Takt Op. Destiny,"Animation, Action, Adventure",24 min,6.8,"1,928",(2021),Certificate N/A,"In a world where aliens have invaded Earth and banned music, a group of fighter musicians use music as a weapon to maintain a resistance.","Kôki Uchiyama, Shion Wakayama, Alexis Tipton, Jason Liebrecht",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Bearcats!,"Action, Adventure, War",120 min,7.5,208,(1971),Certificate N/A,Two honorable men-for-hire look for adventure in the pre-World War I American southwest in their fancy Stutz Bearcat.,"Rod Taylor, Dennis Cole, Henry Darrow, Leslie Nielsen",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Miles from Tomorrowland,"Animation, Adventure, Family",30 min,6.5,611,(2015–2018),Certificate N/A,Follows the outer space voyages of young adventurer Miles and his family.,"Fiona Bishop, Dee Bradley Baker, Tom Kenny, Olivia Munn",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Tripods,"Adventure, Drama, Sci-Fi",30 min,7.4,"1,526",(1984–1985),Certificate N/A,"Earth has been conquered by an alien race known as the Masters using their giant Tripods. When humans reach the age of sixteen, they must undergo a process known as capping which places ...                See full summary »","John Shackley, Ceri Seel, Jim Baker, Robin Hayter",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Curro Jiménez,"Action, Adventure, Comedy",Run Time N/A,7.3,306,(1976–1979),Certificate N/A,"Set in 19th-century Southern Spain, this successful TV series features the endless adventures of Curro Jiménez (prototype of the Andalusian ""bandolero""), a kind of Spanish Robin Hood, and ...                See full summary »","Sancho Gracia, José Sancho, Álvaro de Luna, Eduardo García",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Vision Quest,"Action, Adventure, Sci-Fi",Run Time N/A,Rating N/A,Votes N/A,,Certificate N/A,It follows The Vision trying to regain his memory and humanity.,"Star:
Paul Bettany",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
